trip_uuid,source_center,source_name,destination_center,destination_name,data,route_type,tod_bucket,osrm_distance,osrm_time,actual_time,hour_of_day,day_of_week,src_betweenness,src_bottleneck_score,src_avg_delay,src_in_degree,src_out_degree,dst_bottleneck_score,pred_time_ftl,pred_time_cart,pred_p90_ftl,pred_p90_cart,delta_time_min,delta_risk_min,cost_ftl,cost_cart,delta_cost,vot_effective,benefit_ftl,break_even_vot,recommended_route,switch,extrapolated
trip-153817259045362090,IND177033AAA,Nadaun_Ward6_D (Himachal Pradesh),IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),test,FTL,morning,212.136,202.0,795.0,7,5,0.0007910175910264,0.0016611369411555,2.1,1.0,1.0,0.1402660721185986,498.36911296693887,403.0286634527952,661.5355386563609,484.8848865566051,-95.3404495141437,-176.6506520997558,8864.08,9546.119999999999,-682.039999999999,20.061090149932138,-3684.5356810470403,inf,Carting,True,True
trip-153836492135280209,IND344022AAB,Balotra_BsnoiHPL_D (Rajasthan),IND344001AAA,Barmer_Nehru3PL_D (Rajasthan),test,FTL,morning,95.8949,68.0,89.0,6,0,0.0016145318967143,0.0031309150510009,1.9392091648189207,1.0,2.0,0.0015669945481077,126.00619909820308,143.52239066422942,222.96514573898122,155.65294272664855,17.516191566026336,-67.31220301233267,5376.847,4315.2705000000005,1061.5764999999992,20.11514286700372,-324.6565943064896,inf,Carting,True,True
trip-153836492135280209,IND345021AAA,Pokhran_SttinDPP_D (Rajasthan),IND342301AAA,Phalodi_PalikDPP_D (Rajasthan),test,FTL,afternoon,62.12,44.0,63.0,13,0,0.0,0.0,1.9392091648189207,2.0,1.0,0.0028768961987124,100.99941706675067,141.38086721322767,156.91313405074047,157.71097634830198,40.38145014647701,0.797842297561516,4363.6,2795.4,1568.2000000000003,20.0,815.6074259051553,38.45477493684227,Carting,True,False
trip-153836492135280209,IND342301AAA,Phalodi_PalikDPP_D (Rajasthan),IND342005AAD,Jodhpur_Basni_I (Rajasthan),test,FTL,afternoon,169.5159,128.0,767.0,14,0,0.0015764869624765,0.0028768961987124,1.8248778881069443,4.0,1.0,0.0189994892903628,475.73496915188093,349.96827646096756,766.097481477995,357.92839830945684,-125.76669269091337,-408.1690831685381,7585.477,7628.215499999999,-42.738499999999476,20.105801042505433,-6631.923289961667,inf,Carting,True,True
trip-153860909786408355,IND384205AAA,Mehsana_Panchot_IP (Gujarat),IND384170AAA,Unjha_DC (Gujarat),test,FTL,evening,28.2656,28.0,50.0,23,2,0.008349277859592,0.0143326398847097,1.716632279550233,5.0,5.0,0.0023493390552061,40.559875951729865,58.16907575518392,80.83987974511469,83.176933330255,17.609199803454054,2.3370535851403105,3347.968,1271.952,2076.0159999999996,20.527098698359683,385.45224716740256,110.55736643005297,Carting,True,False
trip-153860909786408355,IND384170AAA,Unjha_DC (Gujarat),IND384265AAB,Patan_Central_D_2 (Gujarat),test,FTL,night,27.1193,24.0,31.0,0,3,0.0012114933746332,0.0023493390552061,1.9392091648189207,1.0,1.0,0.0023308947839189,37.86080882506118,45.64011973059037,52.43032850720808,63.44591343646344,7.779310905529194,11.015584929255361,3313.5789999999997,1220.3685,2093.2104999999997,20.086399544533716,266.89006708249144,157.53700725331876,Carting,True,False
trip-153860909786408355,IND384265AAB,Patan_Central_D_2 (Gujarat),IND385320AAA,Bhabhar_TirupDPP_D (Gujarat),test,FTL,night,83.59110000000001,75.0,86.0,0,3,0.0012019821410737,0.0023308947839189,1.9392091648189207,1.0,2.0,0.0,129.03753296904497,132.21920199391442,183.57981123085534,163.57538935221496,3.18166902486945,-20.004421878640386,5007.733,3761.5995000000007,1246.1334999999995,20.08572123603885,-136.99550357237638,inf,Carting,True,False
trip-153860909786408355,IND385320AAA,Bhabhar_TirupDPP_D (Gujarat),IND385340AAB,Radhanpur_Santalpr_D (Gujarat),test,FTL,night,29.7998,37.0,36.0,2,3,0.0,0.0,1.2933333333333332,1.0,1.0,0.0017304899868797,40.189751603323025,53.80073433882805,67.79149067473807,76.4843668988865,13.610982735505026,8.692876224148435,3393.994,1340.991,2053.003,20.0,359.14841695158486,114.32616172587814,Carting,True,False
trip-153807462781768214,IND683511AAA,Aluva_Peedika_H (Kerala),IND000000ABA,Cochin_Chtrpuza_D (Kerala),test,Carting,evening,24.6111,28.0,36.0,18,3,0.0189154657413293,0.0369187541540848,1.9517761105622284,11.0,7.0,0.0004716736041864,76.39227479043423,37.04654947375456,107.51668647502785,72.15162569508726,-39.34572531667967,-35.36506077994059,3238.333,1107.4995000000001,2130.8334999999997,21.357728054022992,-1217.9939767779147,inf,Carting,False,False
trip-153807462781768214,IND000000ABA,Cochin_Chtrpuza_D (Kerala),IND683565AAA,Kunnathund_Pringla_D (Kerala),test,Carting,night,14.5628,18.0,75.0,1,4,0.000404227426276,0.0004716736041864,1.1668520578420467,1.0,1.0,0.0003947161927166,33.60045640205351,24.25090627598385,44.96942332868067,34.283595878840934,-9.349550126069659,-10.685827449839735,2936.884,655.326,2281.558,20.017346318948714,-294.10413718389225,inf,Carting,False,False
trip-153835673562246389,IND530012AAA,Visakhapatnam_Gajuwaka_IP (Andhra Pradesh),IND531001AAA,Anakapalle_Kothuru_D (Andhra Pradesh),test,Carting,night,23.3078,21.0,42.0,1,0,0.0170101410885817,0.0364303738553119,2.141685578361612,9.0,10.0,0.0017208016409072,79.5734136241843,55.2373467968301,114.06462060550118,108.76527592496608,-24.336066827354195,-5.2993446805351,3199.234,1048.851,2150.383,21.339767327886115,-575.8693950080711,inf,Carting,False,False
trip-153835673562246389,IND531001AAA,Anakapalle_Kothuru_D (Andhra Pradesh),IND531116AAA,Narsiptnm_Wardno8_D (Andhra Pradesh),test,Carting,night,42.7166,37.0,83.0,2,0,0.0007989436189926,0.0017208016409072,2.1538461538461537,2.0,2.0,0.0,73.0926229025115,64.68767094740517,95.9180148775049,98.84524954828863,-8.404951955106327,2.927234670783733,3781.498,1922.247,1859.251,20.063284385315857,-139.26597048896951,inf,Carting,False,False
trip-153835673562246389,IND531116AAA,Narsiptnm_Wardno8_D (Andhra Pradesh),IND530012AAA,Visakhapatnam_Gajuwaka_IP (Andhra Pradesh),test,Carting,night,67.6514,60.0,153.0,4,0,0.0,0.0,2.1538461538461537,1.0,1.0,0.0364303738553119,144.135918097322,166.12387658842613,269.5735528737623,253.28009935816758,21.987958491104138,-16.293453515594734,4529.5419999999995,3044.3129999999996,1485.2289999999998,20.0,276.8246346661354,107.30468419411166,Carting,False,False
trip-153802851786289349,IND781018AAB,Guwahati_Hub (Assam),IND781022AAA,Guwahati_Sixmile (Assam),test,Carting,morning,36.3658,35.0,32.0,6,3,0.0427304045691262,0.0877581633125842,2.053763922843635,14.0,14.0,0.0,89.98194908917033,75.6116329868297,176.18579775887497,115.03323817987857,-14.370316102340624,-61.1525595789964,3590.974,1636.461,1954.5130000000001,23.227403606354997,-1043.9927235114778,inf,Carting,False,False
trip-153857203329578153,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),test,Carting,afternoon,49.2899,49.0,107.0,13,2,0.1199941083671602,0.2226269246338209,1.855315462261053,36.0,35.0,0.0052926359037691,87.99699794824365,105.80872108578225,116.73562880625589,139.41877284172966,17.811723137538607,22.683144035473774,3978.697,2218.0455,1760.6515,28.187351607116927,821.7541810478089,60.39288151210577,Carting,False,False
trip-153851700364664224,IND301001AAB,Alwar_Central_I_1 (Rajasthan),IND321001AAB,Bharatpur_NraynDPP_D (Rajasthan),test,FTL,evening,72.7552,64.0,114.0,21,1,0.0031882447494027,0.0059093936320914,1.8534943508331272,4.0,3.0,0.0010262489518923,111.51476413261757,123.72083728936713,150.97448349947808,177.75745929788695,12.206073156749554,26.78297579840887,4682.656,3273.984,1408.672,20.21732449267028,517.5141980891615,55.03149291921869,Carting,True,False
trip-153851700364664224,IND321001AAB,Bharatpur_NraynDPP_D (Rajasthan),IND321001AAA,Bharatpur_DC (Rajasthan),test,FTL,night,33.767199999999995,31.0,81.0,1,2,0.0006051522352191,0.0010262489518923,1.6958525345622115,1.0,2.0,0.0007662057697221,52.067833291027576,48.21192860613698,67.90090779555287,61.53202141364191,-3.8559046848905965,-6.368886381910961,3513.0159999999996,1519.524,1993.4919999999997,20.037741441289718,-141.07267039293697,inf,Carting,True,False
trip-153851700364664224,IND321001AAA,Bharatpur_DC (Rajasthan),IND321401AAB,Bayana_LalBagh_D (Rajasthan),test,FTL,night,37.075,34.0,38.0,2,2,0.0003951124941149,0.0007662057697221,1.9392091648189207,2.0,2.0,0.0,60.022943945371644,56.743744006864226,95.20658464037359,85.87248027525386,-3.2791999385074178,-9.334104365119728,3612.25,1668.3750000000002,1943.8749999999998,20.028178065390946,-159.14895243322601,inf,Carting,True,False
trip-153851700364664224,IND321408AAB,Weir_BsstdDPP_D (Rajasthan),IND321606AAA,Kherli_GodamDPP_D (Rajasthan),test,FTL,night,37.6614,32.0,66.0,4,2,0.0,0.0,0.0,0.0,1.0,0.0011573780232713,65.45408570128255,77.3689111398104,79.91129751548645,104.72263921791087,11.914825438527842,24.811341702424414,3629.842,1694.763,1935.0790000000002,20.0,486.409925794801,79.56576942125729,Carting,True,False
trip-153851700364664224,IND321606AAA,Kherli_GodamDPP_D (Rajasthan),IND301001AAB,Alwar_Central_I_1 (Rajasthan),test,FTL,night,77.9325,69.0,494.0,5,2,0.0005968299058546,0.0011573780232713,1.9392091648189207,2.0,2.0,0.0059093936320914,186.0459365341418,159.44725504426046,347.04810335107334,221.79560204235864,-26.59868148988133,-125.2525013087147,4837.975,3506.9625,1331.0125000000003,20.04256385805292,-1788.2964002313422,inf,Carting,True,False
trip-153836180658431866,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND560300AAA,Bengaluru_KGAirprt_HB (Karnataka),test,Carting,night,37.2837,47.0,123.0,2,0,0.1199941083671602,0.2226269246338209,1.855315462261053,36.0,35.0,0.0111797467722126,79.8013378261283,99.76754542167755,212.49463384783562,124.61395183014194,19.96620759554925,-87.88068201769367,3618.5110000000004,1677.7665000000002,1940.7445000000002,28.187351607116927,-675.7673279965494,inf,Carting,False,False
trip-153828414962515194,IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND562132AAA,Bangalore_Nelmngla_H (Karnataka),test,FTL,night,2065.2551000000003,1510.0,2815.0,5,6,0.2139032235358459,0.4575710171408227,2.13914970320278,41.0,48.0,0.2226269246338209,2850.005932615388,335.8717009232259,3104.4667461569884,489.6729876940691,-2514.134231692162,-2614.7937584629194,64457.653000000006,92936.47950000002,-28478.82650000001,30.0,-114645.93332770866,inf,Carting,True,True
trip-153851057335197888,IND400072AAB,Mumbai Hub (Maharashtra),IND400015AAA,Mumbai_CottonGreen_DPC (Maharashtra),test,Carting,evening,18.7659,17.0,77.0,20,1,0.004996699358341,0.0130698692561693,2.615700549273936,11.0,9.0,0.0010436325913323,56.10808594366059,46.80148032690907,113.40684095344143,79.6623290282538,-9.306605616751519,-33.74451192518764,3062.977,844.4654999999999,2218.5115,20.480658910575677,-536.1603346737463,inf,Carting,False,False
trip-153807752979438236,IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),IND400072AAJ,Mumbai_Tejpal_I (Maharashtra),test,Carting,evening,26.4487,21.0,47.0,19,3,0.054239531307541,0.1300924670991227,2.398480664618793,27.0,27.0,0.0012015594195822,69.40278932362835,45.334727022514414,134.48690431886922,85.96536113594779,-24.06806230111394,-48.521543182921434,3293.4610000000002,1190.1915,2103.2695000000003,24.784294493263637,-1197.7960517095912,inf,Carting,False,False
trip-153859263095572943,IND400011AAA,LowerParel_CP (Maharashtra),IND400072AAD,Mumbai_Chndivli_PC (Maharashtra),test,Carting,evening,19.3796,18.0,41.0,18,2,0.000798151016196,0.0021418707558496,2.6835407239819,2.0,2.0,0.0017595203248922,53.9779272398356,47.56400385503607,79.21322306309749,68.46928975478582,-6.413923384799531,-10.743933308311668,3081.388,872.082,2209.306,20.07876966815216,-236.64617142635365,inf,Carting,False,False
trip-153835019011713845,IND424006AAA,Dhule_MIDCAvdn_I (Maharashtra),IND424304AAC,Sakri_DhuleRoad_D (Maharashtra),test,FTL,evening,55.4916,41.0,94.0,23,6,0.0032134098881954,0.0191917824433251,5.972404116208994,5.0,9.0,0.0003884824639864,86.84408890594875,60.164436751513975,115.65491396416942,90.91914292782504,-26.679652154434777,-24.73577103634439,4164.748,2497.122,1667.6259999999997,20.705799045148044,-808.5104682568477,inf,Carting,True,False
trip-153835019011713845,IND424304AAC,Sakri_DhuleRoad_D (Maharashtra),IND425412AAA,Nandurbar_DhuleRd_D (Maharashtra),test,FTL,night,54.5334,38.0,79.0,1,0,0.0002003303568456,0.0003884824639864,1.9392091648189207,3.0,2.0,7.685113036330223e-06,70.70148668861299,75.08324861943056,122.20010109477856,97.0845843125367,4.381761930817575,-25.115516782241855,4136.002,2454.003,1681.9990000000003,20.01428687267314,-163.63673862647144,inf,Carting,True,False
trip-153835019011713845,IND425412AAA,Nandurbar_DhuleRd_D (Maharashtra),IND425409AAA,Shahada_Nandrbar_D (Maharashtra),test,FTL,night,39.0891,30.0,74.0,2,0,3.963013983098538e-06,7.685113036330223e-06,1.9392091648189207,4.0,3.0,0.0008172569464762,65.59070520072868,61.9428800777147,91.87940908637302,82.04820281118232,-3.6478251230139804,-9.831206275190695,3672.673,1759.0095000000001,1913.6634999999997,20.000282628539527,-171.27098548140918,inf,Carting,True,False
trip-153835019011713845,IND425409AAA,Shahada_Nandrbar_D (Maharashtra),IND425406AAA,Shindkheda_KakaCplx_D (Maharashtra),test,FTL,night,49.0822,35.0,77.0,4,0,0.000401651467187,0.0008172569464762,2.0347415937502484,3.0,4.0,1.2661580706163494e-06,85.59690998396871,98.06649980869898,139.91506182876884,121.92606070556582,12.469589824730264,-17.989001123203025,3972.466,2208.699,1763.7669999999998,20.030055528931037,69.60623090846093,507.54581147421095,Carting,True,False
trip-153835019011713845,IND425405AAA,Shirpur_KrantiNgr_D (Maharashtra),IND424006AAA,Dhule_MIDCAvdn_I (Maharashtra),test,FTL,morning,65.5128,49.0,1038.0,6,0,0.0002013211103414,0.0003904037422455,1.9392091648189207,2.0,2.0,0.0191917824433251,424.0729816459745,132.73684468421453,685.015021480967,255.18732826551604,-291.33613696175996,-429.82769321545095,4465.384,2948.076,1517.308,20.01435752980802,-10132.268170619118,inf,Carting,True,False
trip-153860373904534393,IND380006AAA,Ahmedabad_Paldi_D (Gujarat),IND382430AAB,Ahmedabad_East_H_1 (Gujarat),test,Carting,night,14.7688,11.0,16.0,0,3,0.0,0.0,0.0,0.0,1.0,0.0726781514530142,104.981925575211,44.45622664693809,487.4182570842779,142.42000124794518,-60.5256989282729,-344.99825583633276,2943.064,664.596,2278.468,20.0,-4660.496536928786,inf,Carting,False,False
trip-153809913878755546,IND585222AAA,Sedam_DBRCmplx_D (Karnataka),IND585307AAB,Chincholi_Mainroad_D (Karnataka),test,Carting,night,39.273300000000006,36.0,53.0,4,4,3.963013983098538e-07,7.24012169989156e-07,1.8269230769230769,2.0,2.0,0.0007371696235864,64.99056491477074,59.20640832012018,82.69145638571628,79.7742179058347,-5.784156594650561,-2.9172384798815756,3678.199,1767.2985000000003,1910.9004999999997,20.00002662634905,-144.85570954050445,inf,Carting,False,False
trip-153809913878755546,IND585307AAB,Chincholi_Mainroad_D (Karnataka),IND585104AAA,Gulbarga_Nehrugnj_I (Karnataka),test,Carting,night,71.0908,65.0,333.0,5,4,0.000399075508098,0.0007371696235864,1.8471933471933475,2.0,2.0,0.0198035197214221,151.02746616905992,272.56294303905094,225.65326503398933,447.9703988675923,121.53547686999102,222.31713383360295,4632.724,3199.0860000000002,1433.638,20.027110228973047,4660.189264543574,6.161042958682606,FTL,True,False
trip-153801648339170824,IND605601AAA,Villupuram_Thirumtr_IP (Tamil Nadu),IND607106AAA,Panruti_GandhiRd_D (Tamil Nadu),test,Carting,night,27.8936,20.0,59.0,2,3,0.0047778096580235,0.0079176004018633,1.6571611195450204,3.0,3.0,0.0034492272338897,45.13867102370645,47.55031992440686,77.39855052589678,65.13269574795639,2.4116489007004063,-12.26585477794039,3336.808,1255.212,2081.596,20.291178519764976,-75.50912612724342,inf,Carting,False,False
trip-153801648339170824,IND607106AAA,Panruti_GandhiRd_D (Tamil Nadu),IND607801AAA,Neyveli_NJVNgr_D (Tamil Nadu),test,Carting,night,17.7122,12.0,24.0,3,3,0.0016145318967143,0.0034492272338897,2.136363636363636,1.0,1.0,0.0034672561761743,39.63728221639243,28.277264698008292,48.49580377092666,44.70021596175072,-11.360017518384137,-3.7955878091759416,3031.366,797.049,2234.317,20.12684914990919,-266.8379705681025,inf,Carting,False,False
trip-153801648339170824,IND607801AAA,Neyveli_NJVNgr_D (Tamil Nadu),IND606003AAA,Virudhchlm_SelamRd_D (Tamil Nadu),test,Carting,night,31.9867,23.0,48.0,4,3,0.0016050206631549,0.0034672561761743,2.16025641025641,1.0,1.0,0.0033947931613403,60.04497511281294,50.413553720747586,68.0184628489424,75.90499137156634,-9.631421392065356,7.886528522623934,3459.601,1439.4015,2020.1995000000002,20.127512184220212,-114.48845195499791,inf,Carting,False,False
trip-153801648339170824,IND606003AAA,Virudhchlm_SelamRd_D (Tamil Nadu),IND606105AAA,Pennadam_EastmnRD_D (Tamil Nadu),test,Carting,night,15.7636,14.0,23.0,5,3,0.0015955094295954,0.0033947931613403,2.127717391304348,1.0,1.0,0.0025375971136576,38.798598246857146,29.651594059446175,45.769400278072595,48.24751603889862,-9.147004187410971,2.4781157608260216,2972.908,709.362,2263.546,20.12484727663128,-159.14621170013427,inf,Carting,False,False
trip-153801648339170824,IND606105AAA,Pennadam_EastmnRD_D (Tamil Nadu),IND606201AAC,Chinnasalem_VkotRoad_D (Tamil Nadu),test,Carting,morning,73.1899,54.0,85.0,6,3,0.001585998196036,0.0025375971136576,1.6,1.0,1.0,0.0026375839564512,118.06882767639455,93.92768278657324,147.61045230299203,114.33977831594335,-24.141144889821305,-33.27067398704868,4695.697,3293.5454999999997,1402.1515000000004,20.093322943039766,-819.3350189630744,inf,Carting,False,False
trip-153801648339170824,IND606201AAC,Chinnasalem_VkotRoad_D (Tamil Nadu),IND605601AAA,Villupuram_Thirumtr_IP (Tamil Nadu),test,Carting,morning,98.0207,73.0,190.0,8,3,0.0015764869624765,0.0026375839564512,1.6730769230769231,1.0,1.0,0.0079176004018633,149.88818967892016,163.92867304381298,227.43049292680584,184.17627909228742,14.040483364892822,-43.254213834518424,5440.621,4410.931500000001,1029.6894999999995,20.097000069871495,-152.4683740619961,inf,Carting,False,True
trip-153859749808005250,IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND382430AAB,Ahmedabad_East_H_1 (Gujarat),test,FTL,evening,872.0913,631.0,1116.0,20,2,0.2139032235358459,0.4575710171408227,2.13914970320278,41.0,48.0,0.0726781514530142,1140.393005661483,408.77542444449097,1221.4123763205105,463.08426755672554,-731.617581216992,-758.3281087637849,28662.739,39244.1085,-10581.3695,30.0,-33323.44906796653,inf,Carting,True,True
trip-153813349066488149,IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),IND400072AAB,Mumbai Hub (Maharashtra),test,Carting,morning,27.5998,23.0,67.0,11,4,0.054239531307541,0.1300924670991227,2.398480664618793,27.0,27.0,0.0130698692561693,96.4619041081754,81.80260815853143,164.50582736745275,135.97055137419238,-14.659295949643976,-28.53527599326037,3327.9939999999997,1241.991,2086.0029999999997,24.784294493263637,-716.9336497116436,inf,Carting,False,False
trip-153846777740005228,IND110037AAM,Delhi_Airport_H (Delhi),IND110020AAB,OK_RPC (Delhi),test,Carting,morning,25.4481,23.0,50.0,8,1,0.0308106240994679,0.0667169336120179,2.1653872831861944,18.0,22.0,0.0,119.6569152473845,73.2434945748919,260.395928249687,111.92686087471405,-46.413420672492606,-148.46906737497295,3263.443,1145.1645,2118.2785000000003,22.453589090936422,-2708.9795918610216,inf,Carting,False,False
trip-153824086681835181,IND501359AAE,Hyderabad_Shamshbd_H (Telangana),IND500010AAB,Hyderabad_Alwal_L (Telangana),test,Carting,afternoon,48.5444,40.0,117.0,17,5,0.0883397291826111,0.2095564632144561,2.372165560766802,30.0,26.0,0.0,78.39806904417628,98.1709994039025,137.94990917035008,125.027924537076,19.772930359726217,-12.921984633274079,3956.3320000000003,2184.498,1771.8340000000003,27.70667091908419,368.8294866551094,133.1011302985923,Carting,False,False
trip-153825122338426097,IND174103AAA,Baddi_ByePass_D (Himachal Pradesh),IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),test,FTL,night,68.4578,65.0,127.0,5,6,0.0005916779876766,0.0013143401918205,2.2213775384507093,3.0,1.0,0.1402660721185986,187.66673055076492,171.82596388196893,307.12526971380674,323.89826919845467,-15.840766668795993,16.772999484647926,4553.734,3080.601,1473.1330000000003,20.048336315562455,-149.44565032788532,inf,Carting,True,False
trip-153842737815495661,IND573201AAB,Hassan_Pandrnga_I (Karnataka),IND572201AAB,Tiptur_YTRd_D (Karnataka),test,FTL,evening,54.391,49.0,72.0,20,0,0.0137916057023015,0.025467381261235,1.8465856558663845,4.0,5.0,0.0011535354667531,94.85376726071249,94.6350823035288,166.06993457368617,134.26774713785747,-0.21868495718368308,-31.8021874358287,4131.73,2447.595,1684.1349999999998,20.93659113892532,-337.4932153704948,inf,Carting,True,False
trip-153842737815495661,IND573103AAA,Arsikere_HsnRdDPP_D (Karnataka),IND577116AAA,,test,FTL,night,36.505,25.0,36.0,1,1,0.0002013211103414,0.0003904037422455,1.9392091648189207,1.0,2.0,3.0740452145320888e-06,53.78680827150034,45.839077061701595,81.18914890654894,58.774692602692426,-7.9477312097987465,-22.41445630385651,3595.15,1642.7250000000001,1952.425,20.01435752980802,-383.3742051345474,inf,Carting,True,False
trip-153842737815495661,IND577116AAA,,IND577101AAA,Chikmagalur_DC (Karnataka),test,FTL,night,44.1599,40.0,45.0,2,1,1.5852055932394153e-06,3.0740452145320888e-06,1.9392091648189207,3.0,1.0,0.0015500872994278,56.445438946430485,79.52198513173211,97.07607247373993,102.2888438970352,23.076546185301623,5.21277142329528,3824.797,1987.1955,1837.6015,20.00011305141581,513.6615414307984,71.54952196942432,Carting,True,False
trip-153842737815495661,IND577132AAD,Mudigere_HesglDPP_D (Karnataka),IND573134AAB,Sakleshpur_RgvdrDPP_D (Karnataka),test,FTL,night,37.4597,32.0,51.0,4,1,0.0007886397826366,0.0016848213538145,2.136363636363636,1.0,1.0,0.0038249174446191,67.12624927451454,78.61169673808912,92.30786548867547,113.46151655393672,11.485447463574587,21.153651065261244,3623.791,1685.6864999999998,1938.1045000000004,20.061961170426926,442.61246418122744,87.84700018594464,Carting,True,False
